LandSF,TotalFinishedArea,TotalAppraisedValue
12300.0,1209.60001,113100.0
7500.0,2161.0,120300.0
5500.0,2356.0,191900.0
9000.0,1456.0,149300.0
5500.0,3432.0,189600.0
8850.0,5427.5,205700.0
7500.0,3628.0,165301.0
9360.0,2856.0,131700.0
13460.0,2760.5,137300.0
8340.0,1574.0,120800.0
12030.0,3867.5,158600.0
6265.0,3444.0,207500.0
10070.0,2760.0,143500.0
9385.0,3744.0,148700.0
8000.0,3307.20001,238300.0
27600.0,5298.0,495000.0
5500.0,5049.0,211700.0
7775.0,1515.25,152400.0
10590.0,1075.20001,109400.0
6750.0,3738.0,213100.0
11385.0,4866.0,246700.0
8750.0,4767.5,201700.0
7150.0,2831.0,173600.0
6820.0,3605.25,201700.0
3240.0,1336.0,98000.0
4060.0,3668.0,152100.0
11024.0,4075.5,224700.0
7500.0,3880.25,172100.0
7890.0,3870.0,216000.0
7560.0,1021.0,128700.0
30125.0,13595.0,750600.0
20100.0,8168.0,463400.0
6770.0,4626.0,197700.0
6370.0,5042.0,122400.0
6380.0,3849.0,177700.0
7750.0,3169.0,178600.0
10050.0,5295.0,215900.0
6006.0,1856.0,201800.0
3043.0,4206.0,125500.0
5000.0,2965.0,76100.0
4250.0,2240.0,147700.0
7110.0,1536.0,110600.0
7062.0,1456.0,174000.0
8050.0,4542.25,294700.0
10200.0,3272.5,161800.0
7500.0,1096.0,143000.0
8250.0,1776.00001,125200.0
16100.0,16048.0,575500.0
3456.0,1770.9,129300.0
5000.0,1041.60001,133200.0
3250.0,2414.0,109900.0
5000.0,3744.0,180600.0
30125.0,1580.0,136400.0
12684.0,1881.12,91700.0
5625.0,2289.5,142600.0
9310.0,2240.0,160100.0
9200.0,3420.80001,166900.0
7050.0,1288.0,125100.0
5500.0,1288.0,139400.0
14500.0,3541.5,385800.0
6705.0,4068.0,132900.0
9225.0,2432.0,195900.0
7050.0,3588.0,192100.0
5000.0,1224.0,133800.0
9490.0,7836.0,322100.0
6705.0,4068.0,132900.0
5850.0,1249.0,144400.0
6235.0,3361.0,158500.0
6350.0,1530.0,128900.0
6944.0,1043.0,127500.0
3620.0,2542.80001,141000.0
6450.0,1470.0,141800.0
4925.0,363.19996,113700.0
7500.0,652.5,43200.0
8700.0,1568.0,170800.0
12900.0,16822.0,963100.0
5960.0,3938.0,216600.0
7125.0,3088.0,185000.0
7650.0,1694.0,136000.0
7500.0,1408.75,134000.0
8745.0,1664.0,140100.0
5750.0,966.0,83400.0
6100.0,3958.75,205800.0
4554.0,3780.0,157200.0
7000.0,1476.0,134600.0
7215.0,1752.0,162900.0
10050.0,5295.0,215900.0
4000.0,2874.0,90700.0
8125.0,1260.0,131600.0
16800.0,10047.0,101600.0
6380.0,1098.0,88900.0
4995.0,982.5,101500.0
10248.0,1651.60001,128800.0
2790.0,2802.5,158700.0
6500.0,1102.5,124000.0
4200.0,3309.5,149900.0
5300.0,3291.5,186700.0
6000.0,1285.20001,116500.0
8745.0,1664.0,140100.0
4847.0,2160.0,60400.0
4380.0,2616.0,129500.0
28614.0,4335.00001,450000.0
8540.0,2632.0,199400.0
5265.0,2064.0,122600.0
7975.0,1332.0,132300.0
10000.0,3137.5,193900.0
10240.0,3580.0,194900.0
6300.0,864.0,96400.0
7750.0,1404.0,139700.0
13770.0,1362.0,140000.0
11786.0,1509.3,41500.0
7500.0,4387.5,175000.0
7600.0,1375.0,131400.0
6900.0,4450.5,261700.0
5700.0,2316.00001,220200.0
6300.0,864.0,96400.0
5650.0,1343.0,148600.0
7008.0,2433.60001,189900.0
6760.0,3247.5,193600.0
5000.0,2966.0,149800.0
9000.0,1452.0,131900.0
8160.0,1485.0,158000.0
8820.0,1600.0,136000.0
5710.0,1317.0,82600.0
8195.0,1120.0,105600.0
5650.0,1587.0,163200.0
7500.0,2612.8,215100.0
7390.0,4167.0,203800.0
5640.0,2344.0,182100.0
5130.0,3936.0,178200.0
5000.0,1498.0,97600.0
8580.0,1825.60001,145000.0
6864.0,1392.0,103300.0
7300.0,1682.0,106200.0
2394.0,978.0,68200.0
12300.0,1209.60001,113100.0
7390.0,4167.0,203800.0
4535.0,2592.0,213100.0
5000.0,1041.60001,133200.0
5500.0,1050.0,135700.0
8014.0,1630.0,143200.0
15210.0,5488.0,351000.0
10500.0,935.0,111700.0
6510.0,1492.5,143300.0
8900.0,3202.0,169800.0
8250.0,2608.5,203000.0
8650.0,6960.0,216100.0
7540.0,5150.75,153400.0
8350.0,1068.0,131100.0
6400.0,2200.0,190300.0
7500.0,1024.0,98900.0
7100.0,1192.0,136900.0
5000.0,1400.0,125600.0
7500.0,2716.0,151500.0
10200.0,3272.5,161800.0
33506.0,1588.0,365500.0
5975.0,9440.0,149800.0
6576.0,1164.0,91100.0
10800.0,2937.5,178800.0
41300.0,33404.0,377400.0
8850.0,5427.5,205700.0
7800.0,1722.0,190300.0
6665.0,2855.0,160700.0
6250.0,2900.0,191300.0
10575.0,3115.0,331400.0
6540.0,2857.60001,181700.0
7290.0,4040.0,154200.0
9078.0,2925.0,233000.0
5000.0,1172.0,115900.0
4650.0,3400.0,145500.0
4890.0,2870.40001,153700.0
6250.0,1344.0,130500.0
7675.0,2513.5,190700.0
4601.0,1156.0,90100.0
17599.0,3288.00001,407900.0
13275.0,1119.0,127900.0
6700.0,1230.00001,148800.0
4675.0,4371.0,185100.0
11100.0,3932.0,277600.0
9295.0,2234.40001,164500.0
8820.0,11052.0,372100.0
6900.0,1776.00001,143000.0
7500.0,4050.0,32400.0
9600.0,2784.0,171700.0
7500.0,900.0,119100.0
7000.0,1708.0,106100.0
7800.0,3412.5,253900.0
5650.0,936.0,134500.0
4500.0,2829.0,108200.0
5000.0,1056.0,116900.0
10000.0,1123.20001,129700.0
8250.0,3968.75,142000.0
6580.0,3375.0,171500.0
160917.23438,24900.0,792800.0
5000.0,2208.0,134800.0
6420.0,1632.0,132300.0
13275.0,1119.0,127900.0
8750.0,2373.20001,145800.0
6355.0,3367.0,137200.0
7150.0,2822.0,164300.0
7680.0,1024.0,138000.0
8150.0,1812.00001,143500.0
7750.0,2368.0,166300.0
16000.0,4740.4,488700.0
7150.0,1228.0,88500.0
7900.0,3858.0,198400.0
8012.0,2657.5,133200.0
11100.0,2338.0,149300.0
16010.0,2436.0,163900.0
10036.0,4020.0,194400.0
5710.0,1167.25,120400.0
6580.0,3375.0,171500.0
5520.0,1952.25,159400.0
1590.0,2442.0,106900.0
7150.0,3097.0,187200.0
5000.0,3517.25,155300.0
4500.0,2507.5,109700.0
5657.0,1939.40001,153500.0
6195.0,4104.0,171600.0
6390.0,2112.00001,145100.0
6272.0,2392.0,165700.0
7020.0,1591.0,157500.0
5000.0,1188.0,101200.0
5220.0,2980.0,145600.0
12000.0,2480.0,168300.0
6000.0,1374.0,129100.0
1135.0,850.0,47300.0
13980.0,10055.52,532500.0
8400.0,1896.0,137400.0
6580.0,3375.0,171500.0
9900.0,1928.0,131100.0
11786.0,1509.3,41500.0
6500.0,1019.20001,139900.0
8440.0,1382.0,103200.0
5800.0,2530.0,145700.0
6250.0,1382.0,122100.0
8280.0,3480.0,152600.0
5625.0,3241.60001,202200.0
7500.0,2464.0,187600.0
5595.0,5832.0,270700.0
5500.0,1204.0,92300.0
5000.0,1224.0,133800.0
7865.0,3078.0,136600.0
6390.0,3010.0,183700.0
8540.0,2624.0,197300.0
5960.0,3355.0,162100.0
9123.0,1222.0,132600.0
10010.0,2768.2,210700.0
5000.0,1532.0,131900.0
7550.0,2400.0,209300.0
7500.0,3270.0,157900.0
4950.0,3196.5,121900.0
6300.0,1480.0,143000.0
9080.0,2206.0,145700.0
10750.0,2222.5,111300.0
8790.0,3638.25,181800.0
10270.0,1408.0,124300.0
7050.0,3900.0,140200.0
6000.0,2308.0,111200.0
5000.0,2208.0,134800.0
8250.0,2234.0,110600.0
9207.0,3849.0,198600.0
7650.0,3948.0,170600.0
6111.0,720.0,115700.0
6900.0,1254.0,145000.0
6510.0,16857.0,350000.0
6125.0,2546.0,131300.0
6007.0,2395.0,140000.0
10560.0,1784.0,53900.0
6460.0,1038.0,130900.0
6000.0,1124.00001,150100.0
5600.0,3120.0,180600.0
8475.0,1120.0,148700.0
10000.0,1839.0,139100.0
7200.0,3645.0,150700.0
72310.0,16436.0,2294300.0
4900.0,3168.0,131700.0
5680.0,3510.0,151000.0
7872.0,911.0,122800.0
7650.0,3399.0,152800.0
5400.0,1585.5,116700.0
5000.0,1872.5,138400.0
8504.0,2900.0,189300.0
6305.0,3582.0,62000.0
4960.0,2164.0,157800.0
6450.0,2600.0,173100.0
12148.0,1747.20001,140000.0
6000.0,1249.0,134500.0
5650.0,1200.5,151400.0
5050.0,2392.0,172500.0
13980.0,10055.52,532500.0
5950.0,1534.00001,155200.0
4800.0,1080.0,138800.0
6350.0,1350.0,148300.0
30360.0,3325.90001,375000.0
6000.0,1050.0,140300.0
11305.0,3647.0,218500.0
7460.0,2803.20001,160800.0
8318.0,1611.0,168800.0
8325.0,3206.0,233100.0
5750.0,1498.5,159500.0
3400.0,2824.0,130100.0
10950.0,1555.7,149600.0
7640.0,4293.0,185200.0
6600.0,3228.0,150500.0
7100.0,1056.0,114600.0
5500.0,980.0,137200.0
10050.0,5295.0,215900.0
5043.0,3388.0,160900.0
7110.0,1536.0,110600.0
5500.0,1241.5,145900.0
6240.0,1112.0,96700.0
7650.0,1694.0,136000.0
8160.0,2469.5,162300.0
3935.0,3672.0,95106.0
8745.0,1522.5,155600.0
3700.0,3778.0,77800.0
7425.0,4660.0,121200.0
9525.0,3096.0,159900.0
8625.0,1170.0,130600.0
8650.0,1248.0,135100.0
8215.0,3751.0,157500.0
8040.0,899.0,138600.0
6700.0,1116.0,94200.0
6070.0,1612.80001,148200.0
33506.0,1588.0,365500.0
5000.0,1006.25,129900.0
6300.0,2150.0,190500.0
5050.0,2392.0,168200.0
3400.0,2824.0,130100.0
8450.0,8484.0,182800.0
6250.0,2207.5,132700.0
8052.0,1378.0,141300.0
9500.0,1594.0,144500.0
12720.0,2110.0,128000.0
8280.0,4291.0,324000.0
5500.0,2782.0,144100.0
6370.0,5042.0,122400.0
8300.0,1015.0,122500.0
10000.0,3061.0,180600.0
7350.0,1756.0,149100.0
7800.0,1015.0,106200.0
3250.0,2414.0,109900.0
7788.0,960.0,147900.0
5000.0,3645.0,175100.0
6250.0,2386.0,189500.0
4000.0,5346.0,140600.0
13530.0,3481.5,178200.0
18530.0,8954.0,258500.0
10000.0,3789.0,202100.0
7891.0,1566.0,132000.0
7500.0,1188.0,127800.0
16800.0,4525.0,377700.0
7500.0,2586.0,195400.0
7500.0,1367.25,121100.0
16100.0,16048.0,575500.0
10050.0,5295.0,215900.0
5000.0,1041.60001,139500.0
7500.0,3826.25,150300.0
7891.0,1566.0,132000.0
9801.0,53531.31,2900000.0
27900.0,3818.0,535000.0
7151.0,1470.0,140500.0
7130.0,2666.0,178900.0
6000.0,1473.6,145900.0
8970.0,2732.0,216800.0
6000.0,3804.0,205100.0
6400.0,3393.25,183900.0
6850.0,3105.0,167100.0
32748.0,5373.4,500000.0
10000.0,1500.0,159500.0
7000.0,1685.2,126500.0
9000.0,7716.0,330300.0
5000.0,2208.0,134800.0
6.0,5940.0,183300.0
9200.0,2250.5,150700.0
8150.0,3054.0,221400.0
7770.0,1698.0,154800.0
6525.0,4462.20001,177900.0
7560.0,1428.0,124700.0
8616.0,1470.0,144100.0
8661.0,1241.0,86300.0
7550.0,2524.0,188300.0
5640.0,2985.0,159700.0
5000.0,1116.0,151600.0
6400.0,767.0,115700.0
4400.0,3501.0,171300.0
8500.0,1368.0,130200.0
7400.0,4032.0,173700.0
7500.0,4050.0,32400.0
7695.0,1698.0,135600.0
5450.0,1200.0,162200.0
7200.0,2722.5,284900.0
